tweet,sentiment,depression_score
"I've just posted a new blog: RED alert: Cyclone IDAI-19 inMozambique : 1286559 people in Cat1(120km/h) , 5964959 in tropical depression.  https://ift.tt/2VTLLxUÂ ",0,0.0
Must see series! I cried my eyes out while bingewatching  #afterlife #sublime #sad #hope #depression #love #netflix,0,0.0
Depression is really getting on my nerves. I am having difficult time dealing with it.. No one knows with what m going through. Its getting worse and worse day by day. Waiting for my death to come.,1,0.8
dealing with the debts of depression and trying to get back to being ok again ,1,0.5
i have depression,1,0.5
True struggles: -being lonely and also anti-social  -having no friends and also hating all people - wanting to do stuff and also trying to get over depression  -wanting to eat healthy and also too broke to afford it  -hates drinking and also drinks myself to sleep everyday ðŸ’€,1,0.5
 help me please. M dying with Depression.  ,1,0.8
cant wait to go home and take a fat ass depression nap,1,0.3
Depression is the least of my worries. I don’t have it.,0,0.0
fuckin petas got me stressed out. i also gotta deal with high induced depression all day. ,1,0.3
Let's reduce the Stigma around Postnatal Depression - @Wera_Hobhouse  https://buff.ly/2NVreGAÂ  pic.twitter.com/oNFCD37IKO,0,0.0
 suffering from depression and anxiety. having suicidal thoughts. #MentalHealthBillKE,1,0.8
Iâ€™m starting a depression podcast,0,0.0
 My depression is horrible right now.,1,0.6
Slytherin quidditch team captain and maneuvers Don't take depression last 6 days starting it for an ass time thinking of,0,0.0
"intelligence isnt just knowing things (which reflects more on ability to memorize than anything) and good decision-making (which is also influenced by your depression) like i said, creativity is a *type* of intelligence there are things youre better than others at in that regard",0,0.0
Me @ depression  pic.twitter.com/GKN0pbHRbH,1,0.2
"You're missing out quite a lot of important nuance there.  Yes, low IQ (as currently measured, which has its own issues) is frequently correlated to deprivation and therefore stress and depression, but high IQ is correlated to mood disorders, neuro-processing conditions etc.",0,0.0
ik heb fucking 13 a 14 hr sleep thats what depression does to me,1,0.3
"A MOFO indeed. The ebb and flow, like the ocean waves hitting your feet as they come crashing in Redondo or Malibu.  a daily struggle for me. Turns into depression & directly effects my life. Add other heartbreaks to the mix & it's a real bitch. Deep sigh.",1,0.5
"Cannabis Use in Adolescence Increases Risk of Depression, Anxiety, and Suicidality in Young Adulthood. Before you scoff at this, they studied >23,000 teens.   https://buff.ly/2UuYxCTÂ  pic.twitter.com/0AZGXVpn4n",0,0.0
Anyway drawing shit is best cure for me to overcome depression tbfh,1,0.2
